0.00,22.50
1.00,23.00
2.00,23.50
3.00,24.00
4.00,24.50
5.00,25.00
6.00,25.50
7.00,26.00
8.00,26.50
9.00,27.00
10.00,27.50
11.00,28.00
12.00,28.50
13.00,29.00
14.00,29.50
15.00,30.00
16.00,30.50
17.00,31.00
18.00,31.50
19.00,32.00
20.00,32.50
21.00,33.00
22.00,33.50
23.00,34.00
24.00,34.50
25.00,35.00
26.00,35.50
27.00,36.00
28.00,36.50
29.00,37.00
30.00,37.50
31.00,38.00
32.00,38.50
33.00,39.00
34.00,39.50
35.00,40.00
36.00,40.50
37.00,41.00
38.00,41.50
39.00,42.00
40.00,42.50
41.00,43.00
42.00,43.50
43.00,44.00
44.00,44.50
45.00,45.00
46.00,45.50
47.00,46.00
48.00,46.50
49.00,47.00
50.00,47.50
51.00,48.00
52.00,48.50
53.00,49.00
54.00,49.50
55.00,50.00
56.00,50.50
57.00,51.00
58.00,51.50
59.00,52.00
60.00,52.50
61.00,53.00
62.00,53.50
63.00,54.00
64.00,54.50
65.00,55.00
66.00,55.50
67.00,56.00
68.00,56.50
69.00,57.00
70.00,57.50
71.00,58.00
72.00,58.50
73.00,59.00
74.00,59.50
75.00,60.00
76.00,60.50
77.00,61.00
78.00,61.50
79.00,62.00
80.00,62.50
81.00,63.00
82.00,63.50
83.00,64.00
84.00,64.50
85.00,65.00
86.00,65.50
87.00,66.00
88.00,66.50
89.00,67.00
90.00,67.50
91.00,68.00
92.00,68.50
93.00,69.00
94.00,69.50
95.00,70.00
96.00,70.50
97.00,71.00
98.00,71.50
99.00,72.00
